transaction_id,transaction_time,year,quarter,month,month_name,day_of_week,item_code,item_description,number_of_items,cost_per_item,total_sales_value,country,hour_of_day,week_number
CS2209_56,2012-03-12,2012,1,3,March,Monday,ITM003,HDMI Cable,1,35.0,35.0,Netherlands,0,11
CS4530_57,2011-06-05,2011,2,6,June,Sunday,ITM011,Notebook,1,40.0,40.0,United Kingdom,0,22
CS2848_58,2013-02-04,2013,1,2,February,Monday,ITM003,HDMI Cable,1,53.0,53.0,Netherlands,0,6
CS2596_59,2011-09-19,2011,3,9,September,Monday,ITM006,Headphones,1,55.0,55.0,United Kingdom,0,38
CS4421_60,2012-05-20,2012,2,5,May,Sunday,ITM015,Folder Set,1,86.0,86.0,Germany,0,20
CS4905_61,2012-04-13,2012,2,4,April,Friday,ITM010,Power Strip,1,93.0,93.0,Australia,0,15
CS5704_62,2011-12-04,2011,4,12,December,Sunday,ITM009,Desk Lamp,1,79.0,79.0,United Kingdom,0,48
CS2403_63,2014-07-27,2014,3,7,July,Sunday,ITM011,Notebook,1,94.0,94.0,United Kingdom,0,30
CS5480_64,2012-01-28,2012,1,1,January,Saturday,ITM013,Stapler,1,63.0,63.0,United States,0,4
CS5811_65,2013-08-23,2013,3,8,August,Friday,ITM012,Pen Set,1,91.0,91.0,Spain,0,34
CS2051_66,2014-12-09,2014,4,12,December,Tuesday,ITM004,Laptop Stand,1,101.0,101.0,United States,0,50
CS3957_67,2012-08-30,2012,3,8,August,Thursday,ITM001,Wireless Mouse,1,69.0,69.0,Spain,0,35
CS4704_68,2014-11-25,2014,4,11,November,Tuesday,ITM005,Webcam HD,1,41.0,41.0,United Kingdom,0,48
CS2289_69,2012-05-19,2012,2,5,May,Saturday,ITM005,Webcam HD,1,67.0,67.0,United States,0,20
CS5218_70,2014-06-21,2014,2,6,June,Saturday,ITM004,Laptop Stand,1,45.0,45.0,France,0,25
CS4637_71,2011-05-20,2011,2,5,May,Friday,ITM015,Folder Set,1,71.0,71.0,Australia,0,20
CS3158_72,2012-05-06,2012,2,5,May,Sunday,ITM014,Sticky Notes,1,91.0,91.0,United Kingdom,0,18
CS4176_73,2012-07-30,2012,3,7,July,Monday,ITM005,Webcam HD,1,49.0,49.0,United Kingdom,0,31
CS1939_74,2011-11-25,2011,4,11,November,Friday,ITM010,Power Strip,1,101.0,101.0,United Kingdom,0,47
CS5403_75,2011-12-01,2011,4,12,December,Thursday,ITM006,Headphones,1,64.0,64.0,France,0,48
CS5489_76,2014-12-02,2014,4,12,December,Tuesday,ITM014,Sticky Notes,1,77.0,77.0,Germany,0,49
CS4563_77,2011-05-30,2011,2,5,May,Monday,ITM007,Phone Charger,1,101.0,101.0,United Kingdom,0,22
CS3508_78,2012-05-23,2012,2,5,May,Wednesday,ITM004,Laptop Stand,1,67.0,67.0,Australia,0,21
CS2703_79,2014-10-12,2014,4,10,October,Sunday,ITM004,Laptop Stand,1,40.0,40.0,France,0,41
CS2596_80,2013-05-01,2013,2,5,May,Wednesday,ITM009,Desk Lamp,1,76.0,76.0,Spain,0,18
CS5990_81,2012-10-19,2012,4,10,October,Friday,ITM004,Laptop Stand,1,103.0,103.0,United States,0,42
CS4215_82,2011-07-09,2011,3,7,July,Saturday,ITM009,Desk Lamp,1,54.0,54.0,United Kingdom,0,27
CS4811_83,2012-01-26,2012,1,1,January,Thursday,ITM014,Sticky Notes,1,77.0,77.0,United Kingdom,0,4
CS2070_84,2013-01-30,2013,1,1,January,Wednesday,ITM006,Headphones,1,41.0,41.0,France,0,5
CS3419_85,2015-01-29,2015,1,1,January,Thursday,ITM004,Laptop Stand,1,38.0,38.0,United Kingdom,0,5
CS3668_86,2014-08-14,2014,3,8,August,Thursday,ITM015,Folder Set,1,102.0,102.0,United Kingdom,0,33
CS4623_87,2013-09-27,2013,3,9,September,Friday,ITM008,Screen Cleaner,1,89.0,89.0,United Kingdom,0,39
CS4708_88,2013-07-02,2013,3,7,July,Tuesday,ITM002,USB Keyboard,1,48.0,48.0,United Kingdom,0,27
CS1816_89,2013-09-22,2013,3,9,September,Sunday,ITM001,Wireless Mouse,1,64.0,64.0,Germany,0,38
CS5376_90,2013-12-08,2013,4,12,December,Sunday,ITM002,USB Keyboard,1,44.0,44.0,United Kingdom,0,49
CS4568_91,2011-11-15,2011,4,11,November,Tuesday,ITM010,Power Strip,1,70.0,70.0,Belgium,0,46
CS1779_92,2012-01-27,2012,1,1,January,Friday,ITM012,Pen Set,1,53.0,53.0,France,0,4
CS2447_93,2011-07-10,2011,3,7,July,Sunday,ITM007,Phone Charger,1,82.0,82.0,Australia,0,27
CS1985_94,2011-08-16,2011,3,8,August,Tuesday,ITM001,Wireless Mouse,1,87.0,87.0,United Kingdom,0,33
CS2544_95,2011-11-07,2011,4,11,November,Monday,ITM006,Headphones,1,64.0,64.0,Australia,0,45
CS2158_96,2012-09-11,2012,3,9,September,Tuesday,ITM015,Folder Set,1,89.0,89.0,Netherlands,0,37
CS5776_97,2014-09-09,2014,3,9,September,Tuesday,ITM008,Screen Cleaner,1,87.0,87.0,Australia,0,37
CS5653_98,2013-09-04,2013,3,9,September,Wednesday,ITM015,Folder Set,1,98.0,98.0,Germany,0,36
CS2291_99,2014-10-15,2014,4,10,October,Wednesday,ITM013,Stapler,1,67.0,67.0,United Kingdom,0,42
CS6088_100,2012-10-29,2012,4,10,October,Monday,ITM001,Wireless Mouse,1,48.0,48.0,Germany,0,44
CS4245_101,2014-06-02,2014,2,6,June,Monday,ITM011,Notebook,1,102.0,102.0,United Kingdom,0,23
CS3344_102,2014-07-02,2014,3,7,July,Wednesday,ITM011,Notebook,1,56.0,56.0,Australia,0,27
CS1481_103,2013-12-23,2013,4,12,December,Monday,ITM009,Desk Lamp,1,50.0,50.0,Germany,0,52
CS5400_104,2011-12-23,2011,4,12,December,Friday,ITM005,Webcam HD,1,56.0,56.0,Australia,0,51
CS5463_105,2014-08-27,2014,3,8,August,Wednesday,ITM010,Power Strip,1,91.0,91.0,Belgium,0,35
CS5951_106,2014-08-07,2014,3,8,August,Thursday,ITM002,USB Keyboard,1,104.0,104.0,United States,0,32
CS5515_107,2012-02-19,2012,1,2,February,Sunday,ITM007,Phone Charger,1,41.0,41.0,United Kingdom,0,7
CS3039_108,2012-05-01,2012,2,5,May,Tuesday,ITM007,Phone Charger,1,92.0,92.0,Germany,0,18
CS1836_109,2012-03-24,2012,1,3,March,Saturday,ITM015,Folder Set,1,63.0,63.0,Belgium,0,12
CS4320_110,2014-04-09,2014,2,4,April,Wednesday,ITM014,Sticky Notes,1,52.0,52.0,Germany,0,15
CS4889_111,2011-12-01,2011,4,12,December,Thursday,ITM004,Laptop Stand,1,38.0,38.0,Netherlands,0,48
CS1319_112,2011-09-26,2011,3,9,September,Monday,ITM008,Screen Cleaner,1,95.0,95.0,United Kingdom,0,39
CS4859_113,2015-01-07,2015,1,1,January,Wednesday,ITM003,HDMI Cable,1,50.0,50.0,United Kingdom,0,2
CS4148_114,2014-02-08,2014,1,2,February,Saturday,ITM014,Sticky Notes,1,40.0,40.0,Spain,0,6
CS5264_115,2013-04-03,2013,2,4,April,Wednesday,ITM014,Sticky Notes,1,81.0,81.0,United Kingdom,0,14
CS4041_116,2014-12-29,2014,4,12,December,Monday,ITM005,Webcam HD,1,49.0,49.0,United Kingdom,0,1
CS2183_117,2013-01-04,2013,1,1,January,Friday,ITM010,Power Strip,1,39.0,39.0,Australia,0,1
CS2516_118,2015-02-15,2015,1,2,February,Sunday,ITM010,Power Strip,1,55.0,55.0,United States,0,7
CS1890_119,2012-11-03,2012,4,11,November,Saturday,ITM003,HDMI Cable,1,37.0,37.0,Belgium,0,44
CS3730_120,2013-02-11,2013,1,2,February,Monday,ITM012,Pen Set,1,89.0,89.0,United Kingdom,0,7
CS5382_121,2013-03-07,2013,1,3,March,Thursday,ITM009,Desk Lamp,1,48.0,48.0,Australia,0,10
CS5970_122,2014-06-13,2014,2,6,June,Friday,ITM012,Pen Set,1,40.0,40.0,Australia,0,24
CS5260_123,2015-01-30,2015,1,1,January,Friday,ITM008,Screen Cleaner,1,46.0,46.0,United States,0,5
CS2437_124,2011-11-13,2011,4,11,November,Sunday,ITM001,Wireless Mouse,1,90.0,90.0,France,0,45
CS4675_125,2011-09-11,2011,3,9,September,Sunday,ITM005,Webcam HD,1,67.0,67.0,United States,0,36
CS2920_126,2011-10-11,2011,4,10,October,Tuesday,ITM001,Wireless Mouse,1,87.0,87.0,France,0,41
CS2548_127,2013-09-28,2013,3,9,September,Saturday,ITM014,Sticky Notes,1,73.0,73.0,United Kingdom,0,39
CS1818_128,2011-12-26,2011,4,12,December,Monday,ITM014,Sticky Notes,1,46.0,46.0,Netherlands,0,52
CS6098_129,2012-09-28,2012,3,9,September,Friday,ITM013,Stapler,1,42.0,42.0,Spain,0,39
CS2712_130,2011-12-26,2011,4,12,December,Monday,ITM005,Webcam HD,1,65.0,65.0,United Kingdom,0,52
CS2714_131,2011-12-14,2011,4,12,December,Wednesday,ITM001,Wireless Mouse,1,69.0,69.0,United Kingdom,0,50
CS2615_132,2013-08-17,2013,3,8,August,Saturday,ITM014,Sticky Notes,1,39.0,39.0,United Kingdom,0,33
CS5445_133,2014-07-27,2014,3,7,July,Sunday,ITM015,Folder Set,1,72.0,72.0,France,0,30
CS5812_134,2014-11-02,2014,4,11,November,Sunday,ITM002,USB Keyboard,1,62.0,62.0,United Kingdom,0,44
CS4636_135,2013-09-22,2013,3,9,September,Sunday,ITM008,Screen Cleaner,1,66.0,66.0,Germany,0,38
CS3147_136,2014-06-04,2014,2,6,June,Wednesday,ITM002,USB Keyboard,1,84.0,84.0,Spain,0,23
CS1273_137,2012-02-01,2012,1,2,February,Wednesday,ITM012,Pen Set,1,91.0,91.0,Germany,0,5
CS4243_138,2011-11-11,2011,4,11,November,Friday,ITM012,Pen Set,1,48.0,48.0,Germany,0,45
CS2357_139,2012-04-13,2012,2,4,April,Friday,ITM002,USB Keyboard,1,71.0,71.0,France,0,15
CS1776_140,2014-05-03,2014,2,5,May,Saturday,ITM008,Screen Cleaner,1,79.0,79.0,France,0,18
CS5643_141,2013-03-02,2013,1,3,March,Saturday,ITM009,Desk Lamp,1,104.0,104.0,Australia,0,9
CS4522_142,2015-03-06,2015,1,3,March,Friday,ITM004,Laptop Stand,1,82.0,82.0,France,0,10
CS2418_143,2015-02-01,2015,1,2,February,Sunday,ITM014,Sticky Notes,1,51.0,51.0,United Kingdom,0,5
CS1330_144,2014-11-21,2014,4,11,November,Friday,ITM007,Phone Charger,1,41.0,41.0,United Kingdom,0,47
CS1195_145,2014-12-29,2014,4,12,December,Monday,ITM004,Laptop Stand,1,83.0,83.0,Spain,0,1
CS4306_146,2015-03-07,2015,1,3,March,Saturday,ITM009,Desk Lamp,1,54.0,54.0,Germany,0,10
CS2137_147,2013-09-29,2013,3,9,September,Sunday,ITM011,Notebook,1,73.0,73.0,France,0,39
CS3518_148,2013-06-19,2013,2,6,June,Wednesday,ITM004,Laptop Stand,1,54.0,54.0,United Kingdom,0,25
CS5835_149,2011-09-18,2011,3,9,September,Sunday,ITM005,Webcam HD,1,52.0,52.0,Germany,0,37
CS4701_150,2015-01-15,2015,1,1,January,Thursday,ITM015,Folder Set,1,95.0,95.0,Germany,0,3
CS4548_151,2012-06-28,2012,2,6,June,Thursday,ITM010,Power Strip,1,38.0,38.0,United Kingdom,0,26
CS2384_152,2012-10-15,2012,4,10,October,Monday,ITM007,Phone Charger,1,35.0,35.0,Australia,0,42
CS4081_153,2013-02-17,2013,1,2,February,Sunday,ITM008,Screen Cleaner,1,74.0,74.0,Germany,0,7
CS5976_154,2012-01-02,2012,1,1,January,Monday,ITM002,USB Keyboard,1,99.0,99.0,Australia,0,1
CS3874_155,2011-09-08,2011,3,9,September,Thursday,ITM004,Laptop Stand,1,44.0,44.0,France,0,36
CS5356_156,2014-06-17,2014,2,6,June,Tuesday,ITM006,Headphones,1,105.0,105.0,Germany,0,25
CS4667_157,2014-09-17,2014,3,9,September,Wednesday,ITM009,Desk Lamp,1,66.0,66.0,Belgium,0,38
CS4328_158,2012-06-04,2012,2,6,June,Monday,ITM004,Laptop Stand,1,56.0,56.0,Spain,0,23
CS3291_159,2013-08-02,2013,3,8,August,Friday,ITM004,Laptop Stand,1,42.0,42.0,United Kingdom,0,31
CS4282_160,2011-09-11,2011,3,9,September,Sunday,ITM002,USB Keyboard,1,44.0,44.0,United States,0,36
CS4331_161,2011-09-25,2011,3,9,September,Sunday,ITM010,Power Strip,1,70.0,70.0,France,0,38
CS1243_162,2013-03-17,2013,1,3,March,Sunday,ITM004,Laptop Stand,1,36.0,36.0,United Kingdom,0,11
CS2390_163,2014-05-20,2014,2,5,May,Tuesday,ITM014,Sticky Notes,1,104.0,104.0,United Kingdom,0,21
CS2207_164,2014-04-05,2014,2,4,April,Saturday,ITM013,Stapler,1,71.0,71.0,Netherlands,0,14
CS1270_165,2011-11-18,2011,4,11,November,Friday,ITM002,USB Keyboard,1,104.0,104.0,United States,0,46
CS1219_166,2014-11-11,2014,4,11,November,Tuesday,ITM004,Laptop Stand,1,91.0,91.0,Netherlands,0,46
CS5427_167,2012-11-13,2012,4,11,November,Tuesday,ITM011,Notebook,1,96.0,96.0,United Kingdom,0,46
CS5474_168,2011-05-18,2011,2,5,May,Wednesday,ITM004,Laptop Stand,1,69.0,69.0,United Kingdom,0,20
CS5109_169,2012-05-23,2012,2,5,May,Wednesday,ITM002,USB Keyboard,1,92.0,92.0,Germany,0,21
CS5287_170,2015-03-14,2015,1,3,March,Saturday,ITM015,Folder Set,1,94.0,94.0,United Kingdom,0,11
CS3477_171,2013-05-05,2013,2,5,May,Sunday,ITM009,Desk Lamp,1,80.0,80.0,Germany,0,18
CS3970_172,2011-12-13,2011,4,12,December,Tuesday,ITM008,Screen Cleaner,1,86.0,86.0,France,0,50
CS5760_173,2011-12-08,2011,4,12,December,Thursday,ITM012,Pen Set,1,59.0,59.0,United Kingdom,0,49
CS2149_174,2013-04-04,2013,2,4,April,Thursday,ITM013,Stapler,1,83.0,83.0,France,0,14
CS4934_175,2014-07-19,2014,3,7,July,Saturday,ITM003,HDMI Cable,1,80.0,80.0,Spain,0,29
CS1517_176,2013-10-18,2013,4,10,October,Friday,ITM002,USB Keyboard,1,89.0,89.0,United States,0,42
CS1641_177,2012-12-29,2012,4,12,December,Saturday,ITM007,Phone Charger,1,64.0,64.0,United Kingdom,0,52
CS2187_178,2011-11-19,2011,4,11,November,Saturday,ITM007,Phone Charger,1,70.0,70.0,United Kingdom,0,46
CS5359_179,2014-08-12,2014,3,8,August,Tuesday,ITM008,Screen Cleaner,1,96.0,96.0,United Kingdom,0,33
CS3124_180,2011-12-08,2011,4,12,December,Thursday,ITM011,Notebook,1,71.0,71.0,Germany,0,49
CS1721_181,2012-08-30,2012,3,8,August,Thursday,ITM011,Notebook,1,96.0,96.0,United Kingdom,0,35
CS5212_182,2015-01-22,2015,1,1,January,Thursday,ITM015,Folder Set,1,42.0,42.0,Germany,0,4
CS5111_183,2011-08-23,2011,3,8,August,Tuesday,ITM002,USB Keyboard,1,81.0,81.0,Spain,0,34
CS3137_184,2012-04-04,2012,2,4,April,Wednesday,ITM007,Phone Charger,1,67.0,67.0,Netherlands,0,14
CS1511_185,2015-01-25,2015,1,1,January,Sunday,ITM006,Headphones,1,69.0,69.0,United States,0,4
CS2509_186,2014-02-23,2014,1,2,February,Sunday,ITM013,Stapler,1,92.0,92.0,United Kingdom,0,8
CS5994_187,2014-01-11,2014,1,1,January,Saturday,ITM004,Laptop Stand,1,42.0,42.0,Belgium,0,2
CS2613_188,2013-08-25,2013,3,8,August,Sunday,ITM003,HDMI Cable,1,103.0,103.0,Australia,0,34
CS1934_189,2014-08-18,2014,3,8,August,Monday,ITM007,Phone Charger,1,89.0,89.0,United States,0,34
CS3127_190,2011-10-02,2011,4,10,October,Sunday,ITM007,Phone Charger,1,39.0,39.0,United Kingdom,0,39
CS5225_191,2014-03-18,2014,1,3,March,Tuesday,ITM005,Webcam HD,1,104.0,104.0,Germany,0,12
CS1815_192,2012-11-17,2012,4,11,November,Saturday,ITM004,Laptop Stand,1,83.0,83.0,Netherlands,0,46
CS3552_193,2014-04-27,2014,2,4,April,Sunday,ITM014,Sticky Notes,1,102.0,102.0,Netherlands,0,17
CS1893_194,2013-11-17,2013,4,11,November,Sunday,ITM007,Phone Charger,1,42.0,42.0,United Kingdom,0,46
CS3621_195,2013-10-26,2013,4,10,October,Saturday,ITM013,Stapler,1,56.0,56.0,United Kingdom,0,43
CS4330_196,2013-07-17,2013,3,7,July,Wednesday,ITM009,Desk Lamp,1,59.0,59.0,United Kingdom,0,29
CS4991_197,2013-07-20,2013,3,7,July,Saturday,ITM001,Wireless Mouse,1,90.0,90.0,United Kingdom,0,29
CS2312_198,2013-10-22,2013,4,10,October,Tuesday,ITM015,Folder Set,1,37.0,37.0,Germany,0,43
CS2359_199,2012-06-04,2012,2,6,June,Monday,ITM013,Stapler,1,90.0,90.0,United States,0,23
CS4798_200,2012-12-06,2012,4,12,December,Thursday,ITM015,Folder Set,1,84.0,84.0,United Kingdom,0,49
CS2507_201,2012-06-28,2012,2,6,June,Thursday,ITM014,Sticky Notes,1,94.0,94.0,France,0,26
CS1430_202,2014-09-02,2014,3,9,September,Tuesday,ITM013,Stapler,1,71.0,71.0,United Kingdom,0,36
CS3787_203,2013-10-23,2013,4,10,October,Wednesday,ITM003,HDMI Cable,1,48.0,48.0,United Kingdom,0,43
CS4103_204,2013-04-14,2013,2,4,April,Sunday,ITM008,Screen Cleaner,1,89.0,89.0,Germany,0,15
CS2881_205,2012-09-24,2012,3,9,September,Monday,ITM004,Laptop Stand,1,54.0,54.0,United Kingdom,0,39
CS1854_206,2011-09-29,2011,3,9,September,Thursday,ITM007,Phone Charger,1,74.0,74.0,United Kingdom,0,39
CS2863_207,2012-12-23,2012,4,12,December,Sunday,ITM001,Wireless Mouse,1,102.0,102.0,United Kingdom,0,51
CS5292_208,2013-09-04,2013,3,9,September,Wednesday,ITM006,Headphones,1,64.0,64.0,Germany,0,36
CS3184_209,2012-01-07,2012,1,1,January,Saturday,ITM015,Folder Set,1,88.0,88.0,United States,0,1
CS2049_210,2013-10-07,2013,4,10,October,Monday,ITM004,Laptop Stand,1,66.0,66.0,Germany,0,41
CS2832_211,2013-07-16,2013,3,7,July,Tuesday,ITM012,Pen Set,1,105.0,105.0,United States,0,29
CS2251_212,2013-04-12,2013,2,4,April,Friday,ITM007,Phone Charger,1,99.0,99.0,United States,0,15
CS5667_213,2014-02-25,2014,1,2,February,Tuesday,ITM007,Phone Charger,1,66.0,66.0,United States,0,9
CS1327_214,2012-02-19,2012,1,2,February,Sunday,ITM015,Folder Set,1,38.0,38.0,United Kingdom,0,7
CS4927_215,2013-08-12,2013,3,8,August,Monday,ITM015,Folder Set,1,37.0,37.0,United Kingdom,0,33
CS2302_216,2012-09-09,2012,3,9,September,Sunday,ITM009,Desk Lamp,1,100.0,100.0,Australia,0,36
CS3901_217,2012-09-11,2012,3,9,September,Tuesday,ITM011,Notebook,1,82.0,82.0,Australia,0,37
CS5762_218,2013-04-21,2013,2,4,April,Sunday,ITM003,HDMI Cable,1,85.0,85.0,France,0,16
CS2289_219,2012-03-13,2012,1,3,March,Tuesday,ITM005,Webcam HD,1,89.0,89.0,Spain,0,11
CS2867_220,2012-02-09,2012,1,2,February,Thursday,ITM015,Folder Set,1,56.0,56.0,France,0,6
CS2359_221,2014-08-10,2014,3,8,August,Sunday,ITM009,Desk Lamp,1,87.0,87.0,United States,0,32
CS5814_222,2011-12-12,2011,4,12,December,Monday,ITM009,Desk Lamp,1,72.0,72.0,United Kingdom,0,50
CS5129_223,2011-06-21,2011,2,6,June,Tuesday,ITM012,Pen Set,1,102.0,102.0,United States,0,25
CS2597_224,2012-06-03,2012,2,6,June,Sunday,ITM001,Wireless Mouse,1,42.0,42.0,Germany,0,22
CS5838_225,2012-09-01,2012,3,9,September,Saturday,ITM009,Desk Lamp,1,96.0,96.0,Germany,0,35
CS5800_226,2012-04-23,2012,2,4,April,Monday,ITM008,Screen Cleaner,1,86.0,86.0,Belgium,0,17
CS3786_227,2013-07-16,2013,3,7,July,Tuesday,ITM013,Stapler,1,66.0,66.0,Germany,0,29
CS3659_228,2012-05-19,2012,2,5,May,Saturday,ITM003,HDMI Cable,1,77.0,77.0,United Kingdom,0,20
CS4400_229,2011-09-03,2011,3,9,September,Saturday,ITM015,Folder Set,1,97.0,97.0,United Kingdom,0,35
CS3026_230,2012-06-03,2012,2,6,June,Sunday,ITM002,USB Keyboard,1,55.0,55.0,United States,0,22
CS3632_231,2013-02-10,2013,1,2,February,Sunday,ITM003,HDMI Cable,1,72.0,72.0,United Kingdom,0,6
CS1452_232,2012-03-23,2012,1,3,March,Friday,ITM009,Desk Lamp,1,79.0,79.0,Germany,0,12
CS5140_233,2014-07-11,2014,3,7,July,Friday,ITM011,Notebook,1,97.0,97.0,Germany,0,28
CS5383_234,2013-12-29,2013,4,12,December,Sunday,ITM004,Laptop Stand,1,73.0,73.0,France,0,52
